epsilon,contaminant_location,replicate,n,hellinger_loss,hellinger_squared_loss,tv_loss
0.02,3.5,2,200000,0.01315611427500012,0.00017308334281686193,0.014044199700336005
0.02,3.5,3,200000,0.019911246252664203,0.00039645772733423425,0.015083975096300448
0.02,4.0,0,200000,0.016366739454868096,0.000267870160383536,0.014559155687619459
0.02,4.0,1,200000,0.02608070129726514,0.0006802029801571676,0.016004600746017957
0.02,4.0,2,200000,0.018898940843210327,0.0003571699649951635,0.015049909068003839
0.02,4.0,3,200000,0.026683178031147635,0.0007119919898419197,0.015703407963238724
0.04,-4.0,0,200000,0.034167959006966585,0.001167449422701749,0.026439841814325453
0.04,-4.0,1,200000,0.042356486536669326,0.0017940719517310498,0.030437181202503327
0.04,-4.0,2,200000,0.045249850486035935,0.0020475489690086066,0.031430719996949304
0.04,-4.0,3,200000,0.05106469860915264,0.0026076034440435953,0.0339048276829883
0.04,-3.5,0,200000,0.02348725647715334,0.0005516512168235814,0.023583488528448163
0.04,-3.5,1,200000,0.03008163965573375,0.0009049050443774132,0.02734675390412003
0.04,-3.5,2,200000,0.03284502413206527,0.00107879561023595,0.029571003355421677
0.04,-3.5,3,200000,0.03892889294345137,0.001515458705802698,0.0322887425260102
0.04,-3.0,0,200000,0.01667791254058668,0.0002781527667114584,0.020904273897881156
0.04,-3.0,1,200000,0.0219152785910675,0.0004802794357241015,0.024814975138482333
0.04,-3.0,2,200000,0.02500716535812159,0.0006253583192484365,0.02770148043063254
0.04,-3.0,3,200000,0.029997945002982765,0.0008998767044019787,0.029581306742612744
0.04,-2.5,0,200000,0.013916915141713202,0.0001936805270616462,0.018375440346340192
0.04,-2.5,1,200000,0.01751150949745063,0.00030665296487930366,0.023097415497849168
0.04,-2.5,2,200000,0.020492707160476294,0.0004199510467650364,0.025265555585668228
0.04,-2.5,3,200000,0.024255787380123354,0.0005883432214297513,0.02618300486631166
0.04,-2.0,0,200000,0.014362778106912425,0.00020628939494840286,0.017931276351412746
0.04,-2.0,1,200000,0.015771592079837055,0.00024874311673277893,0.020921294892031102
0.04,-2.0,2,200000,0.01800049615293654,0.0003240178617518832,0.02219027403695671
0.04,-2.0,3,200000,0.020157184606948056,0.00040631209127858363,0.022894837709997354
0.04,-1.5,0,200000,0.016377188050865778,0.0002682122884534208,0.020025344252827745
0.04,-1.5,1,200000,0.01565092837879165,0.0002449515591180658,0.019627668922329075
0.04,-1.5,2,200000,0.016243895115068605,0.0002638641285093497,0.019599207336432466
0.04,-1.5,3,200000,0.01682562347638022,0.0002831016053689172,0.02075136574920995
0.04,-1.0,0,200000,0.01889192434133964,0.00035690480531890126,0.022284716006065238
0.04,-1.0,1,200000,0.01608982810467861,0.00025888256843810566,0.019703682842741623
0.04,-1.0,2,200000,0.014684492530852954,0.0002156343208886762,0.018216530690015994
0.04,-1.0,3,200000,0.014120823518833424,0.00019939765685003915,0.01836379494299855
0.04,-0.5,0,200000,0.021367193096513387,0.00045655694082368935,0.0243303235344023
0.04,-0.5,1,200000,0.016383935793685814,0.0002684333520916192,0.0203625149467008
0.04,-0.5,2,200000,0.013508548133317422,0.0001824808726701536,0.017687756623427347
0.04,-0.5,3,200000,0.012285877575500457,0.000150942787800185,0.015207850718865783
0.04,0.0,0,200000,0.023327559176718252,0.0005441750171432919,0.02582045322084231
0.04,0.0,1,200000,0.016149094250981058,0.00026079324512706946,0.020328019726024806
0.04,0.0,2,200000,0.013189601301179172,0.00017396558248406732,0.01709905119545499
0.04,0.0,3,200000,0.011198769682624793,0.00012541244240447618,0.013745083952745736
0.04,0.5,0,200000,0.024290367905063094,0.0005900219729633192,0.026546780323363845
0.04,0.5,1,200000,0.015398015664163676,0.00023709888639382996,0.01901812275804352
0.04,0.5,2,200000,0.013908378474568488,0.00019344299179184006,0.016973074676651517
0.04,0.5,3,200000,0.010745482454852297,0.00011546539318753855,0.013686907943512072
0.04,1.0,0,200000,0.02393885779083929,0.000573068912330027,0.02627899917940056
0.04,1.0,1,200000,0.0145206397016219,0.00021084897734431813,0.017274020648880964
0.04,1.0,2,200000,0.015182365950980842,0.00023050423586950242,0.018413465667057864
0.04,1.0,3,200000,0.011177097567749183,0.0001249275100389847,0.01421502336701841
0.04,1.5,0,200000,0.02235638449258633,0.0004998079275803545,0.025173802552127374
0.04,1.5,1,200000,0.014163685210438514,0.0002006099787403947,0.017936555929171413
0.04,1.5,2,200000,0.016348312956011933,0.0002672673365077076,0.020005314250275092
0.04,1.5,3,200000,0.01280889019303325,0.00016406766797718339,0.01546399223060176
0.04,2.0,0,200000,0.0201050576374464,0.00040421334260504183,0.02396917792504413
0.04,2.0,1,200000,0.015296174620243467,0.00023397295801298038,0.02006904250751008
0.04,2.0,2,200000,0.01715188515618886,0.00029418716441109174,0.021303168760088982
0.04,2.0,3,200000,0.01572011295712263,0.00024712195138469476,0.019400648859947866
0.04,2.5,0,200000,0.0182902594225128,0.0003345335897428182,0.024099013652494918
0.04,2.5,1,200000,0.018626861399998782,0.0003469599656147646,0.022635831049688238
0.04,2.5,2,200000,0.017987331354852417,0.0003235440892692569,0.022754399633792274
0.04,2.5,3,200000,0.020128590066811194,0.00040516013807773024,0.023538623683325932
0.04,3.0,0,200000,0.018556557613176858,0.000344345830451152,0.02521821043043884
