truth,epsilon,n,q,replicates,mean_h2,ci95_low,ci95_high
mix_-1.0_+0.5_w0.50,0.0,200,-6.0,40,0.0014808523580620916,0.000580821952186684,0.002380882763937499
mix_-1.0_+0.5_w0.50,0.0,400,-6.0,40,0.0006661596881159143,9.053331997636437e-05,0.0012417860562554642
mix_-1.0_+0.5_w0.50,0.0,800,-6.0,40,0.0004393158301270237,6.285214067872107e-05,0.0008157795195753263
mix_-1.0_+0.5_w0.50,0.0,1600,-6.0,40,0.00017572633205080947,0.0,0.00042381724994699555
mix_-1.0_+0.5_w0.50,0.02,100,-6.0,40,0.004187700177042703,0.002719431289135029,0.005655969064950378
mix_-1.0_+0.5_w0.50,0.02,200,-6.0,40,0.003026307861643933,0.0016753158055796585,0.0043772999177082075
mix_-1.0_+0.5_w0.50,0.02,400,-6.0,40,0.0007990784255279777,2.2638460554140786e-05,0.0015755183905018146
mix_-1.0_+0.5_w0.50,0.02,800,-6.0,40,0.0,0.0,0.0
mix_-1.0_+0.5_w0.50,0.02,1600,-6.0,40,0.0,0.0,0.0
mix_-1.0_+0.5_w0.50,0.05,100,-6.0,40,0.004501590374354487,0.0029523559217079047,0.00605082482700107
mix_-1.0_+0.5_w0.50,0.05,200,-6.0,40,0.0030375450145358586,0.001831225804899989,0.004243864224171728
mix_-1.0_+0.5_w0.50,0.05,400,-6.0,40,0.0005993088191459833,0.0,0.0012810007050494377
mix_-1.0_+0.5_w0.50,0.05,800,-6.0,40,0.00019976960638199443,0.0,0.0006038417753101722
mix_-1.0_+0.5_w0.50,0.05,1600,-6.0,40,0.0,0.0,0.0
mix_-1.0_+0.5_w0.50,0.1,100,-6.0,40,0.005713739162740645,0.004438202895843891,0.0069892754296374
mix_-1.0_+0.5_w0.50,0.1,200,-6.0,40,0.0032925352768637247,0.0020562616613784834,0.004528808892348966
mix_-1.0_+0.5_w0.50,0.1,400,-6.0,40,0.0012864808043173714,0.00035721293517725864,0.0022157486734574842
mix_-1.0_+0.5_w0.50,0.1,800,-6.0,40,0.00019976960638199443,0.0,0.0006038417753101722
mix_-1.0_+0.5_w0.50,0.1,1600,-6.0,40,0.00039953921276398885,0.0,0.0009636097699385249
mix_-1.0_+0.5_w0.50,0.2,100,3.0,40,0.006276004490533275,0.004951803302704161,0.00760020567836239
