attempt,components,support_half_width,amplitude,tv,hellinger
126,15,1.8208182012022838,0.0010458072670394298,1.3364600988160215e-06,1.752103443458502e-06
127,5,1.612085021107042,0.0007393747526706101,4.7232765778768506e-05,4.074307726808794e-05
128,11,2.2716938891928464,0.0010143328566384622,4.442232979398065e-05,0.0001269511964154193
129,5,2.822593008174752,0.00020622212913669227,7.083099659676995e-05,5.560523561139375e-05
130,5,2.262899907612645,0.00014111213919860928,5.8916782492261046e-05,4.9215268030754284e-05
131,8,1.7582683580729406,0.003484188833989447,0.0005893201061276335,0.0005729260502555856
132,8,1.8811062906641025,0.0598165601119681,0.0084999463629898,0.007511906548104563
133,15,1.9454748764344152,0.0102439575401531,0.0005171199564985422,0.00045175764567382653
134,5,1.982019493338846,0.027508335604191917,0.0006354640358001382,0.0005954839027733973
135,15,2.384439924174626,0.00240603566429982,0.00016668298460748512,0.00016623291667550478
136,5,2.94696730679863,0.00017666418749714296,1.5138337362090762e-05,1.661243390984655e-05
137,5,2.104551159537337,0.0030328583137861393,0.0010101948333486868,0.002133399372303958
138,5,2.294298431424782,0.005610049250700667,0.0009049916663125652,0.0008710907699027705
139,11,3.0772967974947956,0.0018375513731011368,0.00018283321458738516,0.00014595060816581642
140,11,2.2913371598627887,0.0005930994210211806,8.107648886327096e-05,6.535107438089857e-05
141,11,1.8896141411885747,0.1570603398816238,0.0322531315694206,0.031187090412115353
142,8,3.4825488966428213,0.0008168242730025959,0.0002129225705331158,0.00019251058829586811
143,15,1.6374516325088875,0.0007360659235342399,6.649141469547129e-05,6.224156346910032e-05
144,15,3.5298932940061762,0.004926966602465938,0.000509014133920554,0.0004986426727714189
145,8,2.7048718740716864,0.0155535650152703,0.0037634954374930205,0.003150415020491897
146,8,2.5562818597701584,0.020158119663063565,0.00296827877164572,0.0028128518400518097
148,8,2.453072580270366,0.043402295055425553,0.011341241232868497,0.008628230243089124
149,15,1.7471150458675848,0.00011532484056806712,1.7178076004656908e-05,1.4063378419141792e-05
150,8,3.590021464608312,0.0032473138227186982,0.0011470091871826496,0.0008825175749885957
152,15,3.265074247158095,0.00040153587197309986,0.00010043579422383707,8.406477829398763e-05
153,8,2.321109408279101,0.00019225527538745983,3.463892588933412e-05,3.373272909799466e-05
154,11,2.799681269410992,0.007085470278727962,0.0008802535156311941,0.0008260058164071779
155,11,2.7271045535658827,0.00011715316717956097,2.3821906249136882e-05,2.033202062637507e-05
157,11,3.67650392385414,0.009364325735269855,0.0012531934673793662,0.0009402850077117426
158,8,3.924166847915572,0.043267345891604546,0.01662227685045807,0.016664930943693868
159,11,2.0536262962819753,0.00040286989846634574,5.299991542521256e-05,4.3658346011998934e-05
160,8,1.9152870723620137,0.00121115619171099,0.00028499644723402985,0.00021939228142998931
