family,components,support_half_width,relative_amplitude,amplitude,tv,hellinger,hellinger_squared,chi_squared,sqrt_chi_squared,alpha,theorem_2_1_rhs_C0_1,corollary_2_4_rhs_C0_1,theorem_2_1_ratio,corollary_2_4_ratio,hellinger_over_tv,sqrt_chi_over_tv
5,5,1.2019437924838743,0.1,0.010000000000000002,0.0006008233349699024,0.0005066350135248676,2.566790369293428e-07,2.054745019948892e-06,0.0014334381814186798,1.097912361231231,2.0672857345198348,2.0672857345198348,0.0006933914153631124,0.0002450725630545421,0.8432345816765704,2.385789795415463
5,5,1.2019437924838743,0.03,0.003,0.0001802470004909703,0.0001520244754853986,2.3111441146610556e-08,1.849270517954002e-07,0.00043003145442560385,1.0212502460110233,1.2010572942210413,1.2010572942210413,0.0003580440804070928,0.000126575539915434,0.8434230532064496,2.3857897954154685
5,5,1.2019437924838743,0.01,0.001,6.0082333496989436e-05,5.0678069354780584e-05,2.568266713527951e-09,2.054745019948865e-08,0.00014334381814186704,0.9673882438624415,0.7283456315524778,0.7283456315524778,0.00019680741111377013,6.957969837309197e-05,0.8434770489951081,2.3857897954154796
5,5,1.2019437924838743,0.003,0.00030000000000000003,1.8024700049095944e-05,1.5203761725144213e-05,2.3115437059496015e-10,1.849270517953876e-09,4.300314544255892e-05,0.9201398413048633,0.41795821843214703,0.41795821843214703,0.00010288862270461663,3.6376271729209824e-05,0.8434959629692579,2.3857897954155307
5,5,1.2019437924838743,0.001,0.0001,6.0082333496980586e-06,5.067953052343466e-06,2.568414814075745e-11,2.0547450199487258e-10,1.4334381814186218e-05,0.8846817725422869,0.24997370944497996,0.24997370944497996,5.734355763257281e-05,2.0273944262362275e-05,0.8435013684343924,2.38578979541575
6,3,2.5652580434894863,1.0,0.1,0.022990554900409126,0.021218590967594316,0.000450228602650075,0.003583101368850374,0.05985901242795753,1.6568966853002716,11.920452266135461,11.920452266135461,0.005021538704366915,0.001780015597887483,0.9229264391185583,2.603634957366441
6,3,2.5652580434894863,0.3,0.03,0.0068971664701227365,0.0063516621956297235,4.03436126473918e-05,0.00032247912319653346,0.017957703728387252,1.3709250192026754,6.334190331670161,6.334190331670161,0.002835043279107193,0.0010027583421155196,0.9209089302315614,2.6036349573664404
6,3,2.5652580434894863,0.1,0.010000000000000002,0.002299055490040912,0.0021165587043722664,4.4798207490540065e-06,3.583101368850372e-05,0.0059859012427957515,1.2193606024497319,3.79115989412412,3.79115989412412,0.0015789102570095339,0.000558287902246671,0.9206209739350841,2.603634957366441
6,3,2.5652580434894863,0.03,0.003,0.000689716647012274,0.0006349185184463636,4.0312152506612537e-07,3.224791231965334e-06,0.001795770372838725,1.1082983582793235,2.199716803023895,2.199716803023895,0.0008163643476151681,0.0002886364815568791,0.920549795625079,2.6036349573664386
6,3,2.5652580434894863,0.01,0.001,0.00022990554900409162,0.00021163547580979584,4.478957462123868e-08,3.583101368850379e-07,0.0005985901242795758,1.0350065746903392,1.3408175654225671,1.3408175654225671,0.000446436666490811,0.00015784061998255338,0.9205322652130914,2.6036349573664386
6,3,2.5652580434894863,0.003,0.00030000000000000003,6.897166470122692e-05,6.349023985193725e-05,4.031010556456521e-09,3.224791231965302e-08,0.00017957703728387162,0.9735086137790023,0.7758193700784992,0.7758193700784992,0.00023146758666995075,8.183636849066189e-05,0.9205264238142687,2.603634957366444
6,3,2.5652580434894863,0.001,0.0001,2.299055490040737e-05,2.1163375557424667e-05,4.478884649845999e-10,3.5831013688501655e-09,5.985901242795579e-05,0.9288921170251198,0.467917837613824,0.467917837613824,0.0001279263315397646,4.5228828345909214e-05,0.9205247828554879,2.603634957366564
7,8,1.5743391453749036,1.0,0.03608114534819284,0.005819605513840546,0.006785508108323323,4.6043120288121565e-05,0.0003806593508874612,0.019510493353256376,1.3428379383904157,5.838204301037627,5.838204301037627,0.0033418654687690126,0.001162259448015091,1.165973894997798,3.3525456849017194
7,8,1.5743391453749036,0.3,0.01082434360445785,0.0017458816541521638,0.002058928828078733,4.239187919093665e-06,3.425934157987151e-05,0.005853148005976912,1.1901330239337125,3.3449071416608525,3.3449071416608525,0.0017498686086306835,0.0006155414009658903,1.179306067614641,3.3525456849017194
7,8,1.5743391453749036,0.1,0.003608114534819284,0.0005819605513840546,0.0006886249365220913,4.7420430320005424e-07,3.806593508874612e-06,0.0019510493353256375,1.0955660909772977,2.037823084546986,2.037823084546986,0.0009574184089485676,0.00033792184500411364,1.183284562646662,3.3525456849017194
7,8,1.5743391453749036,0.03,0.0010824343604457852,0.00017458816541521705,0.00020683389261475912,4.278025913417371e-08,3.425934157987166e-07,0.0005853148005976926,1.019502429177092,1.183831359515999,1.183831359515999,0.0004944241389559019,0.0001747156729310851,1.1846959507412955,3.352545684901714
7,8,1.5743391453749036,0.01,0.0003608114534819284,5.8196055138406004e-05,6.896820551765522e-05,4.756613372325528e-09,3.806593508874631e-08,0.00019510493353256425,0.9659965229980362,0.7177804991224676,0.7177804991224676,0.00027181698830086977,9.608537094832368e-05,1.1851010408459837,3.3525456849016964
7,8,1.5743391453749036,0.003,0.00010824343604457851,1.74588165415208e-05,2.0692940381448517e-05,4.281977816301827e-10,3.425934157987011e-09,5.853148005976793e-05,0.9190190697167411,0.41180719699374563,0.41180719699374563,0.0001421332130352663,5.0249098443422284e-05,1.1852430164574028,3.3525456849018114
7,8,1.5743391453749036,0.001,3.608114534819284e-05,5.81960551383993e-06,6.897882970749198e-06,4.7580789478151774e-11,3.806593508874333e-10,1.951049335325566e-05,0.8837401210055723,0.2462448504800466,0.2462448504800466,7.923208674301439e-05,2.8012293281674688e-05,1.185283599437274,3.3525456849019513
8,3,1.9925220067365053,1.0,0.1,0.039005767059008316,0.03570139906360681,0.0012745898950989054,0.009450595582320535,0.0972141737727608,1.8694427964760527,16.78544642227452,16.78544642227452,0.005791575113769762,0.0021269258002116972,0.9152851425687226,2.4923025773520675
8,3,1.9925220067365053,0.3,0.03,0.011701730117702492,0.01041925240239636,0.00010856082062484232,0.0008505536024088478,0.029164252131828237,1.4740776086196166,8.237575037454807,8.237575037454807,0.0035403928946593512,0.0012648446120395685,0.8904027265706643,2.492302577352068
8,3,1.9925220067365053,0.1,0.010000000000000002,0.0039005767059008306,0.003448729783700967,1.1893737120986121e-05,9.45059558232053e-05,0.009721417377276078,1.2841536032904852,4.836034883281427,4.836034883281427,0.0020102041469725173,0.0007131317012669846,0.8841589446205981,2.4923025773520675
8,3,1.9925220067365053,0.03,0.003,0.0011701730117702489,0.001032154219419872,1.0653423326662452e-06,8.505536024088477e-06,0.0029164252131828237,1.1520544675690245,2.7911660468939052,2.7911660468939052,0.001044877002723758,0.00036979319828302036,0.8820526614764591,2.4923025773520684
8,3,1.9925220067365053,0.01,0.001,0.00039005767059008316,0.00034381949724683565,1.1821184668706682e-07,9.450595582320535e-07,0.000972141737727608,1.0677467611626041,1.701923290146599,1.701923290146599,0.0005712018534301098,0.0002020182103608324,0.8814581103525078,2.4923025773520675
