epsilon,contaminant_location,replicate,n,hellinger_loss,hellinger_squared_loss,tv_loss
0.04,1.5,2,200000,0.014186700460059877,0.00020126246994346314,0.017979201114977812
0.04,1.5,3,200000,0.012671102252579962,0.000160556832295337,0.015430002462985218
0.04,2.0,0,200000,0.01262801498134766,0.00015946676236914091,0.01581683463793597
0.04,2.0,1,200000,0.021424346527359535,0.00045900262412438257,0.025406178442804562
0.04,2.0,2,200000,0.015095619378938612,0.000227877724433787,0.01883176062884147
0.04,2.0,3,200000,0.012217667929791,0.00014927140964264348,0.015091207996612148
0.04,2.5,0,200000,0.014805751076301674,0.00021921026493340818,0.01931682336933783
0.04,2.5,1,200000,0.02323235275741847,0.0005397422146451295,0.02728209912651235
0.04,2.5,2,200000,0.015794353707899937,0.0002494616090502525,0.020479536977433228
0.04,2.5,3,200000,0.011955253054124648,0.00014292807558815673,0.01488590251401708
0.04,3.0,0,200000,0.018581357791043716,0.000345266857358781,0.02300250290583009
0.04,3.0,1,200000,0.026862029947097424,0.0007215686528787589,0.028984441094357147
0.04,3.0,2,200000,0.020286172937405922,0.0004115288124463404,0.02464837045864678
0.04,3.0,3,200000,0.014394960457145573,0.0002072148865627847,0.018652807158858052
0.04,3.5,0,200000,0.023908083944625253,0.0005715964779032479,0.024808476890793636
0.04,3.5,1,200000,0.03415441102850665,0.0011665237927041766,0.03027773217463273
0.04,3.5,2,200000,0.027276595125397988,0.0007440126416348853,0.027585791416794323
0.04,3.5,3,200000,0.019231377036550167,0.00036984586272194905,0.02144158790974719
0.04,4.0,0,200000,0.03440745603449331,0.00118387303076559,0.029071558862910966
0.04,4.0,1,200000,0.04424638508109862,0.0019577425927448664,0.030604399388770815
0.04,4.0,2,200000,0.03923673838081911,0.0015395216387648436,0.029778848580297435
0.04,4.0,3,200000,0.028241248270533682,0.0007975681038779217,0.023848671617425102
0.08,-4.0,0,200000,0.09664733341294185,0.009340707055832346,0.06822611069614501
0.08,-4.0,1,200000,0.0693046437118863,0.004803133640031501,0.05770160495263763
0.08,-4.0,2,200000,0.07893287611559657,0.006230398931880116,0.06367993986451152
0.08,-4.0,3,200000,0.09964379670324208,0.009928886221437038,0.0690898934670893
0.08,-3.5,0,200000,0.0760436726247542,0.005782640146260791,0.06339625223917154
0.08,-3.5,1,200000,0.04996451456799058,0.0024964527160149428,0.052591584049190114
0.08,-3.5,2,200000,0.06122731598208039,0.0037487842223695163,0.060259549233770006
0.08,-3.5,3,200000,0.08171638592657723,0.00667756772890131,0.06783404796764586
0.08,-3.0,0,200000,0.058090076734720525,0.003374457015045719,0.05758293208386983
0.08,-3.0,1,200000,0.03535746273319493,0.0012501501709292681,0.043218215676106266
0.08,-3.0,2,200000,0.04714776625586843,0.002222911862918006,0.05514467620849519
0.08,-3.0,3,200000,0.06548483933161903,0.004288264182287958,0.06308834910552855
0.08,-2.5,0,200000,0.04645072796910376,0.002157670128859678,0.052804113323047124
0.08,-2.5,1,200000,0.029243361563126506,0.0008551741955117447,0.03785924166308545
0.08,-2.5,2,200000,0.04035132268598654,0.001628229242508612,0.04981853639553303
0.08,-2.5,3,200000,0.057177678064457435,0.003269286868842737,0.061116152769248866
0.08,-2.0,0,200000,0.03886885985630749,0.0015107882665292718,0.049122348217502186
0.08,-2.0,1,200000,0.024404017153390842,0.0005955560532229945,0.031216778256787446
0.08,-2.0,2,200000,0.036534310678086934,0.001334755856722977,0.04510380446980063
0.08,-2.0,3,200000,0.0476304826176845,0.0022686628743935457,0.0536724533975078
0.08,-1.5,0,200000,0.03547814414579002,0.0012586987120294549,0.046485721890199276
0.08,-1.5,1,200000,0.02400721790115489,0.0005763465113535318,0.030407666627835093
0.08,-1.5,2,200000,0.0339486610154143,0.0011525115847395107,0.0412630301562626
0.08,-1.5,3,200000,0.044666140845732984,0.0019950641380508563,0.052678288347414844
0.08,-1.0,0,200000,0.031720636645047096,0.0010061987891671047,0.0404488175377376
0.08,-1.0,1,200000,0.02403660706305583,0.0005777584791037454,0.030851835802658618
0.08,-1.0,2,200000,0.031362390415941355,0.0009835995326019302,0.03890680325939759
0.08,-1.0,3,200000,0.039715955411338405,0.0015773571142354203,0.04856524305842555
0.08,-0.5,0,200000,0.03309891624958505,0.0010955382568970454,0.04107296021283701
0.08,-0.5,1,200000,0.027248274134156807,0.0007424684432901588,0.03417010059209763
0.08,-0.5,2,200000,0.0289316012828533,0.0008370375527899988,0.03699063272245981
0.08,-0.5,3,200000,0.03550673522430746,0.001260728246289076,0.04424789262173921
0.08,0.0,0,200000,0.029996346373677714,0.0008997807957696482,0.036365612277675194
0.08,0.0,1,200000,0.02885302732497027,0.000832497185815481,0.03593296093080785
0.08,0.0,2,200000,0.026101007122387276,0.0006812625728029113,0.03356894059841352
0.08,0.0,3,200000,0.031967946631017735,0.001021949611803598,0.040005181469575046
0.08,0.5,0,200000,0.029614731302920555,0.0008770323101441826,0.036553936342151705
0.08,0.5,1,200000,0.03227220949531705,0.0010414955057096319,0.04000407683598023
0.08,0.5,2,200000,0.025297519649098998,0.0006399645003965499,0.03261389533628158
0.08,0.5,3,200000,0.03029771130002867,0.000917951310019885,0.038098916401441155
0.08,1.0,0,200000,0.02718976043034377,0.0007392830722594879,0.03446244767532345
0.08,1.0,1,200000,0.03588212329101882,0.0012875267718718754,0.04376569672848782
0.08,1.0,2,200000,0.024909333878834615,0.000620474914287258,0.0313533201794452
0.08,1.0,3,200000,0.027554877826818678,0.0007592712920509036,0.034488140451603914
0.08,1.5,0,200000,0.02550779286356011,0.0006506474967702881,0.03296009851250274
0.08,1.5,1,200000,0.03906721735834301,0.0015262474721240173,0.04720887175592984
0.08,1.5,2,200000,0.027710471251036938,0.0007678702169545446,0.034603432465353495
0.08,1.5,3,200000,0.02577729153062969,0.0006644687586550732,0.032547503557081796
0.08,2.0,0,200000,0.02591226641906368,0.0006714455509725353,0.03340634462092365
0.08,2.0,1,200000,0.04071305408571247,0.001657552772986149,0.04946479743525768
0.08,2.0,2,200000,0.02995070028245683,0.0008970444474095595,0.03844721421403898
0.08,2.0,3,200000,0.02203754020686922,0.0004856531783693775,0.02765575172236017
0.08,2.5,0,200000,0.0282639576121975,0.000798851299904097,0.037686906680148756
0.08,2.5,1,200000,0.04543497280207784,0.002064336753525553,0.05475661948070335
0.08,2.5,2,200000,0.0319095166573307,0.0010182172533044656,0.041742656328915176
