truth,epsilon,n,replicate,q,selected,h2_loss,tv_loss
point_+0.0,0.0,200,23,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,23,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,23,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,23,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,24,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,24,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,24,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,24,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,24,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,25,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,200,25,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,25,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,25,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,1600,25,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,26,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,200,26,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,26,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,800,26,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,26,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,27,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,27,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,400,27,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,27,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,27,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,28,-6.0,mix_-0.5_+0.5_w0.25,0.009232113867112179,0.10690992617970946
point_+0.0,0.0,200,28,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.0,400,28,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,28,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,28,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,29,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,29,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,29,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,29,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,29,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,30,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,30,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,30,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,30,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,30,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,31,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,31,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,31,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,31,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,31,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,32,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,32,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,32,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,800,32,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,1600,32,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,100,33,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,200,33,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.0,400,33,-6.0,point_+0.0,0.0,0.0
